iteration_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,optimizer,k_folds,mean_train_rmse,std_train_rmse,mean_val_rmse,std_val_rmse,mean_best_epoch,elapsed_seconds
29,"[128, 64]",tanh,0.2,0.01,0.0,32,adam,9,73307.45225694444,33660.91130525168,80845.92013888889,31075.8701617453,58.55555555555556,35.0
15,[64],tanh,0.2,0.001,0.0,32,adam,9,78206.00694444444,11201.496287711932,90169.13368055556,12587.956796747916,271.55555555555554,95.2
62,"[256, 128, 64]",tanh,0.2,0.01,0.0001,32,adam,9,90202.90972222222,31117.502236320484,92078.01822916667,31436.305647763955,10.88888888888889,13.7
61,"[256, 128, 64]",tanh,0.2,0.01,0.0,32,adam,9,92470.26996527778,31024.621887513116,93231.02821180556,30324.42738673404,8.222222222222221,12.0
64,"[256, 128, 64]",tanh,0.2,0.001,0.0001,32,adam,9,89733.48350694444,41417.91337741405,95335.20442708333,45864.391067482335,135.55555555555554,74.3
16,[64],tanh,0.2,0.001,0.0001,32,adam,9,84803.81032986111,18554.708610943868,95608.04774305556,19967.758236611357,256.22222222222223,107.8
47,"[128, 64, 32]",tanh,0.2,0.001,0.0,32,adam,9,94677.50347222222,49715.920633735404,98971.52777777778,48415.26371585627,131.55555555555554,60.7
57,"[256, 128, 64]",tanh,0.0,0.01,0.0,32,adam,9,95264.51171875,37002.58154782616,102184.453125,22928.057565079536,9.88888888888889,12.2
58,"[256, 128, 64]",tanh,0.0,0.01,0.0001,32,adam,9,89023.90907118056,45990.740048206215,103228.69921875,31147.213596959646,14.777777777777779,19.6
12,[64],tanh,0.0,0.001,0.0001,32,adam,9,35993.567057291664,13604.294649692341,103896.73784722222,14156.22561094021,257.8888888888889,80.2
63,"[256, 128, 64]",tanh,0.2,0.001,0.0,32,adam,9,99188.13888888889,38484.42663976208,104461.36328125,41815.020346186306,82.33333333333333,51.7
79,"[64, 32, 16]",tanh,0.2,0.001,0.0,32,adam,9,102482.42274305556,32095.595806698726,104536.31901041667,37245.58729308275,62.111111111111114,33.3
48,"[128, 64, 32]",tanh,0.2,0.001,0.0001,32,adam,9,103518.37348090278,49586.35817430974,105697.48133680556,51687.552013356486,106.22222222222223,55.8
80,"[64, 32, 16]",tanh,0.2,0.001,0.0001,32,adam,9,103551.23003472222,31223.930095386633,106282.1015625,34915.56683576785,72.66666666666667,37.8
59,"[256, 128, 64]",tanh,0.0,0.001,0.0,32,adam,9,100086.22135416667,42507.95799221419,108611.05555555556,44130.04287110246,92.55555555555556,52.6
11,[64],tanh,0.0,0.001,0.0,32,adam,9,39125.120225694445,17599.67911540449,113334.10677083333,20367.473211408822,260.1111111111111,74.9
76,"[64, 32, 16]",tanh,0.0,0.001,0.0001,32,adam,9,110956.57118055556,34274.794554835134,114337.69010416667,35145.394117823125,40.333333333333336,23.2
60,"[256, 128, 64]",tanh,0.0,0.001,0.0001,32,adam,9,104738.63715277778,46005.26701714053,114806.65928819444,40942.173854259294,56.888888888888886,29.4
75,"[64, 32, 16]",tanh,0.0,0.001,0.0,32,adam,9,111137.76996527778,32350.04095899582,115401.34288194444,32485.41389436271,37.0,25.6
43,"[128, 64, 32]",tanh,0.0,0.001,0.0,32,adam,9,112179.908203125,63593.88096476542,121758.18446180556,59233.407150633204,86.44444444444444,38.6
44,"[128, 64, 32]",tanh,0.0,0.001,0.0001,32,adam,9,117565.03624131944,64271.35023172175,126982.01041666667,56691.59562970011,59.44444444444444,30.3
8,[64],relu,0.2,0.001,0.0001,32,adam,9,142239.64236111112,123890.64620270951,133618.35503472222,23811.720114969008,99.77777777777777,46.4
36,"[128, 64, 32]",relu,0.0,0.001,0.0001,32,adam,9,63555.22048611111,44450.59512266635,147312.06857638888,44672.37734113608,19.666666666666668,15.6
35,"[128, 64, 32]",relu,0.0,0.001,0.0,32,adam,9,70418.62934027778,48150.192971088676,147883.42274305556,51350.48931410125,18.88888888888889,15.3
19,"[128, 64]",relu,0.0,0.001,0.0,32,adam,9,99332.68229166667,48057.97420981357,149762.61805555556,66230.06100446399,18.666666666666668,14.0
7,[64],relu,0.2,0.001,0.0,32,adam,9,143426.21006944444,95409.55915037355,150465.70746527778,44768.36781140566,88.22222222222223,39.0
20,"[128, 64]",relu,0.0,0.001,0.0001,32,adam,9,106700.07161458333,58626.28159825789,152046.61545138888,68465.36403857695,17.88888888888889,15.9
52,"[256, 128, 64]",relu,0.0,0.001,0.0001,32,adam,9,53339.01345486111,14446.891189341944,158431.07899305556,68581.98657281554,10.777777777777779,14.3
51,"[256, 128, 64]",relu,0.0,0.001,0.0,32,adam,9,53100.48046875,11762.534260403498,159026.74131944444,69386.61067930768,11.11111111111111,14.3
67,"[64, 32, 16]",relu,0.0,0.001,0.0,32,adam,9,68105.90234375,26216.51161505174,160239.93663194444,39905.37624359882,44.77777777777778,26.6
68,"[64, 32, 16]",relu,0.0,0.001,0.0001,32,adam,9,54265.805989583336,16704.282843635043,168437.15277777778,58953.34678197721,47.77777777777778,27.5
4,[64],relu,0.0,0.001,0.0001,32,adam,9,43284.63910590278,30334.27044881695,171238.93315972222,42484.25907147176,162.33333333333334,53.0
3,[64],relu,0.0,0.001,0.0,32,adam,9,43481.30230034722,20958.43421545263,176993.42881944444,40941.65980927514,123.33333333333333,41.7
21,"[128, 64]",relu,0.2,0.01,0.0,32,adam,9,1194513.275390625,1991669.5872854735,178860.23546006944,212797.01500029638,152.77777777777777,81.5
65,"[64, 32, 16]",relu,0.0,0.01,0.0,32,adam,9,249694.90104166666,128996.63155528173,188232.78038194444,45925.873770584265,12.555555555555555,13.7
55,"[256, 128, 64]",relu,0.2,0.001,0.0,32,adam,9,312099.3732638889,112874.01620162364,192470.59461805556,51336.44625210858,7.0,11.9
39,"[128, 64, 32]",relu,0.2,0.001,0.0,32,adam,9,526838.8576388889,290953.9295389589,196888.21006944444,43372.52366253811,13.777777777777779,16.1
40,"[128, 64, 32]",relu,0.2,0.001,0.0001,32,adam,9,693739.8350694445,638376.2129680499,197428.17274305556,46912.08896439042,12.777777777777779,14.5
56,"[256, 128, 64]",relu,0.2,0.001,0.0001,32,adam,9,369039.6145833333,157104.29634614266,203412.625,45515.983360614606,7.777777777777778,12.2
6,[64],relu,0.2,0.01,0.0001,32,adam,9,311780.10546875,369443.3058863403,219075.01019965278,266077.38849331014,138.77777777777777,61.8
5,[64],relu,0.2,0.01,0.0,32,adam,9,308475.91297743056,373538.8631253398,221476.52582465278,271054.8605554543,146.88888888888889,59.0
23,"[128, 64]",relu,0.2,0.001,0.0,32,adam,9,301587.8888888889,110469.71513367204,223392.13888888888,121566.6920388544,11.777777777777779,11.7
24,"[128, 64]",relu,0.2,0.001,0.0001,32,adam,9,315453.7552083333,104770.81851127393,227144.56076388888,121224.7811497271,15.0,13.2
17,"[128, 64]",relu,0.0,0.01,0.0,32,adam,9,336654.6901041667,193516.71605802223,231465.99565972222,118084.65670374196,9.88888888888889,17.2
71,"[64, 32, 16]",relu,0.2,0.001,0.0,32,adam,9,262080.9296875,173546.14471527605,234598.16623263888,157391.24172309632,67.33333333333333,36.2
72,"[64, 32, 16]",relu,0.2,0.001,0.0001,32,adam,9,246603.74934895834,154399.39696965087,235877.16753472222,164787.508668089,79.33333333333333,41.4
18,"[128, 64]",relu,0.0,0.01,0.0001,32,adam,9,791309.4513888889,818686.2507511459,245874.5859375,186773.65270192162,8.777777777777779,11.8
66,"[64, 32, 16]",relu,0.0,0.01,0.0001,32,adam,9,1115650.5151909722,2014771.0851588375,279956.58680555556,167392.56799155075,15.666666666666666,15.8
33,"[128, 64, 32]",relu,0.0,0.01,0.0,32,adam,9,720385.8315972222,545728.0458366183,286960.6701388889,127662.09063767758,7.0,11.2
50,"[256, 128, 64]",relu,0.0,0.01,0.0001,32,adam,9,560570.4088541666,332399.89470159035,311408.54340277775,91678.03786351718,6.111111111111111,12.5
34,"[128, 64, 32]",relu,0.0,0.01,0.0001,32,adam,9,391555.49305555556,149440.55859710666,314578.0451388889,186027.1848588261,13.222222222222221,13.7
49,"[256, 128, 64]",relu,0.0,0.01,0.0,32,adam,9,3260560.703125,7489767.147880455,314861.44965277775,99046.21838672443,7.888888888888889,13.1
2,[64],relu,0.0,0.01,0.0001,32,adam,9,542514.1414930555,466505.0839682344,330614.3888888889,230972.03081600333,14.444444444444445,11.4
1,[64],relu,0.0,0.01,0.0,32,adam,9,542582.0338541666,463073.21498894,417150.3732638889,430227.46395980276,15.777777777777779,17.8
10,[64],tanh,0.0,0.01,0.0001,32,adam,9,108433.29817708333,49659.441923065046,1707258.09375,2601517.839256683,60.111111111111114,25.7
9,[64],tanh,0.0,0.01,0.0,32,adam,9,115160.63194444444,62190.45634914148,4197236.668402778,9860999.480045794,70.33333333333333,28.8
